Language,Consonant Inventories,Vowel Quality Inventories,Consonant-Vowel Ratio,Voicing in Plosives and Fricatives,Voicing and Gaps in Plosive Systems,Uvular Consonants,Glottalized Consonants,Lateral Consonants,The Velar Nasal,Vowel Nasalization,Nasal Vowels in West Africa,1Consonant Inventories,1Vowel Quality Inventories,1Consonant-Vowel Ratio,1Voicing in Plosives and Fricatives,1Voicing and Gaps in Plosive Systems,1Uvular Consonants,1Glottalized Consonants,1Lateral Consonants,1The Velar Nasal,Fusion of Selected Inflectional Formatives,2Consonant Inventories,Exponence of Tense-Aspect-Mood Inflection,2Vowel Quality Inventories,2Consonant-Vowel Ratio,2Voicing in Plosives and Fricatives,2Voicing and Gaps in Plosive Systems,Zero Marking of A and P Arguments,2Uvular Consonants,2Glottalized Consonants,2Lateral Consonants,2The Velar Nasal,Number of Genders,3Consonant Inventories,3Vowel Quality Inventories,3Consonant-Vowel Ratio,3Voicing in Plosives and Fricatives,3Voicing and Gaps in Plosive Systems,3Uvular Consonants,3Glottalized Consonants,3Lateral Consonants,3The Velar Nasal,Inclusive/Exclusive Forms in Pama-Nyungan,Inclusive/Exclusive Distinction in Verbal Inflection,4Consonant Inventories,4Vowel Quality Inventories,4Consonant-Vowel Ratio,4Voicing in Plosives and Fricatives,4Voicing and Gaps in Plosive Systems,4Uvular Consonants,4Glottalized Consonants,4Lateral Consonants,4The Velar Nasal,Asymmetrical Case-Marking,5Consonant Inventories,5Vowel Quality Inventories,5Consonant-Vowel Ratio,5Voicing in Plosives and Fricatives,5Voicing and Gaps in Plosive Systems,5Uvular Consonants,5Glottalized Consonants,5Lateral Consonants,Number of Possessive Nouns,5The Velar Nasal,"Genitives,6Consonant Inventories,6Vowel Quality Inventories,6Consonant-Vowel Ratio,6Voicing in Plosives and Fricatives,6Voicing and Gaps in Plosive Systems,6Uvular Consonants,6Glottalized Consonants,6Lateral Consonants,6The Velar Nasal,The Morphological Imperative,7Consonant Inventories,7Vowel Quality Inventories,7Consonant-Vowel Ratio,7Voicing in Plosives and Fricatives,7Voicing and Gaps in Plosive Systems,7Uvular Consonants,7Glottalized Consonants,7Lateral Consonants,7The Velar Nasal,Suppletion in Imperatives and Hortatives,Verbal Number and Suppletion,8Consonant Inventories,"Languages with two Dominant Orders of Subject,8Vowel Quality Inventories,8Consonant-Vowel Ratio,8Voicing in Plosives and Fricatives,8Voicing and Gaps in Plosive Systems,8Uvular Consonants,8Glottalized Consonants,8Lateral Consonants,8The Velar Nasal,Order of Relative Clause and Noun,Prenominal relative clauses,Postnominal relative clauses,Internally-headed relative clauses,Correlative relative clauses,Adjoined relative clauses,Double-headed relative clauses,9Consonant Inventories,9Vowel Quality Inventories,9Consonant-Vowel Ratio,9Voicing in Plosives and Fricatives,9Voicing and Gaps in Plosive Systems,9Uvular Consonants,9Glottalized Consonants,9Lateral Consonants,9The Velar Nasal,Alignment of Verbal Person Marking,10Consonant Inventories,10Vowel Quality Inventories,10Consonant-Vowel Ratio,10Voicing in Plosives and Fricatives,10Voicing and Gaps in Plosive Systems,10Uvular Consonants,10Glottalized Consonants,10Lateral Consonants,Productivity of the Antipassive Construction,10The Velar Nasal,Other Roles of Applied Objects,1Vowel Nasalization,11Consonant Inventories,11Vowel Quality Inventories,11Consonant-Vowel Ratio,11Voicing in Plosives and Fricatives,11Voicing and Gaps in Plosive Systems,11Uvular Consonants,11Glottalized Consonants,11Lateral Consonants,11The Velar Nasal,1Fusion of Selected Inflectional Formatives,12Consonant Inventories,12Vowel Quality Inventories,12Consonant-Vowel Ratio,12Voicing in Plosives and Fricatives,12Voicing and Gaps in Plosive Systems,12Uvular Consonants,12Glottalized Consonants,12Lateral Consonants,12The Velar Nasal,1Number of Genders,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',13Consonant Inventories,13Vowel Quality Inventories,13Consonant-Vowel Ratio,13Voicing in Plosives and Fricatives,13Voicing and Gaps in Plosive Systems,13Uvular Consonants,M in First Person Singular,13Glottalized Consonants,M in Second Person Singular,13Lateral Consonants,13The Velar Nasal,1Inclusive/Exclusive Distinction in Verbal Inflection,14Consonant Inventories,14Vowel Quality Inventories,14Consonant-Vowel Ratio,Obligatory Double Negation,Optional Double Negation,Optional Triple Negation,Preverbal Negative Morphemes,Postverbal Negative Morphemes,Minor morphological means of signaling negation,14Voicing in Plosives and Fricatives,Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,Languages with different word order in negative clauses,The Position of Negative Morphemes in SVO Languages,Multiple Negative Constructions in SVO Languages,Obligatory Double Negation in SVO languages,Optional Double Negation in SVO languages,NegSVO Order,SNegVO Order,SVNegO Order,SVONeg Order,The Position of Negative Morphemes in SOV Languages,Multiple Negative Constructions in SOV Languages,Obligatory Double Negation in SOV languages,Optional Double Negation in SOV languages,NegSOV Order,SNegOV Order,SONegV Order,SOVNeg Order,The Position of Negative Morphemes in Verb-Initial Languages,Double negation in verb-initial languages,Verb-Initial with Preverbal Negative,Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,Verb-Initial with Clause-Final Negative,The Position of Negative Morphemes in Object-Initial Languages
Bilin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,3,,,,2,,,,,,,,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,7,,3,1,,1,1,2,,1,,,,,,,,,6,,,1,,2,,,2,2,5,2,2,,,1,,,,,,,1,,,,2,1,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,
Bole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Byelorussian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,7,,,,,,,,,,,,,,,,,4,,,,,,,,,,3,5,1,7,,3,3,6,,2,1,1,,1,,1,,,,,,1,,,5,5,5,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,1,2,,,,,,,,,,,1,,,,,1,,,,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
Balti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,1,,1,1,,1,,1,1,2,2,1,,,,,,1,6,,2,1,1,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,1,1,4,16,,,,,,,,,,,15,20,,,,,,1,,,,,,
blu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,2,,2,,,,,,,,,,,,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Biloxi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,9,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,2,,,,,,,,2,4,,,,1,,1,1,,1,1,2,2,2,,,,,,,,,2,2,2,1,,2,,,,2,,,,,,,,,,,,4,2,,,,1,,1,1,1,,,,,,,,,2,2,,,,,,,,,,,,,,,,15,,6,,2,1,4,19,4,,,,,,,,,,17,,,5,4,4,6,3,,,,,,
Nijadali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balant,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,,2,2,2,2,,,,,,,,,,,,,,4,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,2,4,4,20,,,5,,,,4,2,7,4,,,,,,,,,,,,,,
Tamazight (Middle Atlas),4,1,5,4,3,2,1,2,3,2,,1,3,1,7,8,1,,1,4,6,1,1,4,2,2,2,2,4,1,1,3,2,2,3,6,,5,,,,3,,3,,,1,1,1,,,3,2,4,2,2,6,,,,2,2,1,2,,,,2,2,1,4,2,4,4,1,3,4,2,2,,,,,4,1,1,3,,2,2,1,2,2,2,6,1,1,,1,,,,,,1,1,1,4,4,4,3,1,2,2,5,2,2,1,2,1,3,4,8,5,,2,2,2,5,1,1,,1,1,2,1,4,4,2,2,2,2,2,,,,1,,,,,1,1,3,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,2,,1,2,1,4,1,,2,2,1,,1,,,,,2,6,2,5,5,4,,,,,1,,,,,,,,,,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,1,,1,1,4,19,3,,15,,,1,4,3,7,3,,,,,,,,,,,,,,
Bamun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mzab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
Banawa,,,,,,,,,,,,,,,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bunaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,1,3,6,3,1,1,1,,,,,,,,,,,,,5,5,5,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bandi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qaqet,1,2,3,1,1,1,1,2,,,,1,2,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,1,2,2,2,2,2,1,,1,,,,,,,,,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
Bundjalung,,,,,,,,,1,,,,,,,,,,,,1,1,1,,,,,,2,1,,,,,,,,,,,,,,,,,,3,,,,1,,,1,,,,,,,,,,,,,,,1,1,1,4,2,,,,,,,,,,,,,,,1,1,,,,1,1,,,,,,,,,,1,,,,,1,,,1,,1,1,1,,,2,,,,,,,,,,,1,,,,,,,,,,,,,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bankon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,2,2,2,,,,,,,,,,,,2,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banggarla,,,,,,,,,,,,,,,5,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Binumarien,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Banoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,7,,,,,,,,,,,,,,,,,,,9,,,,,,2,,,,,,,,2,,,,,1,,,,,,,,,,,,,2,,1,2,,2,2,2,1,2,,,,,,,,2,,,,4,,4,,,,4,,,,3,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
Barasano (Northern),1,2,1,2,2,1,1,1,,,,1,1,2,,,,,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben (Gan),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,3,,1,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bantik,,,,,,,,,,,,,,,6,8,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bnu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,1,6,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,21,1,,,,,,,,,,23,,,,,,,,,,,,,
bnv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baniva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boazi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,,,,,,,,,,4,,,,,,,,,,,,,1,,1,1,,1,,,,2,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,2,4,20,,,,,,,,,,,6,,,,4,4,8,2,,,,,,
Bobangi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,2,2,,,,1,,1,,,,,,,,,4,4,,,,,2,,,,,,,,,,,,,6,,,,,,,,,,4,4,,,,,,,,,,,,,,,,,,,,,,,14,1,,,1,1,4,18,,,14,,1,,4,5,7,3,,,,,,,,,,,,,,
Boro,2,2,2,4,2,1,1,2,,,,1,2,2,,,,,1,1,,,,,,,,,2,,,,,,,2,,,,5,5,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,2,,,,,,,,,,,,,,,1,1,,,1,1,1,2,2,1,2,,2,,,3,6,2,,,1,1,,,,,,,,,,,,,,,,,,,,,2,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,1,1,4,16,,,,,,,,,,,15,24,,,,,,,,,,,,
Boiken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,,,1,2,4,,,,,,,,,,,,,,,,,,,,,,,,,
boj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1,,1,,3,5,,,,,,,,,,,2,,1,,5,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,2,4,,,,,,,,,,,,,,,,,,,,,,,,,
Boko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,,,,,,6,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,1,1,2,,2,1,,1,,,,,,,,,1,2,2,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,15,,2,,1,1,4,19,4,,,,,,,,,,17,,,2,4,3,8,3,,,,,,
Bolia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,2,,2,2,,2,,,,,,,,,,,,,4,,,,,,2,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,5,,2,1,4,19,6,,15,,,9,4,4,7,3,,,,,,,,,,,,,,
Bongu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,,,,,,,,,,,,,,1,,1,1,,1,1,2,,,,,,,,,,,2,,,1,,2,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bora,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serbo-Croatian (Bosnian),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wargla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bozo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahnar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque Bidasoa Valley,,,,,,,,,,,,,,,3,8,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque Gernica,,,,,,,,,,,,,,,1,7,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque Hondarribia,,,,,,,,,,,,,,,1,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bqi,,,,,,,,,,,,,,,1,1,6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque Lekeitio,,,,,,,,,,,,,,,6,8,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque Northern High Navarrese,,,,,,,,,,,,,,,6,8,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque Oñati,,,,,,,,,,,,,,,3,8,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basque Roncalese,,,,,,,,,,,,,,,6,8,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
